id,game_id,game_date,season,home_team_id,away_team_id,home_team_score,away_team_score,home_rest_days,away_rest_days
78,401480718,2023-03-05 20:10:00,2023,LAA,CIN,8,5,-1.0,-1.0
79,401480720,2023-03-05 20:10:00,2023,MIL,SEA,1,6,0.0,0.0
80,401480721,2023-03-05 20:10:00,2023,SD,OAK,10,3,0.0,-1.0
81,401511650,2023-03-05 21:05:00,2023,OAK,CIN,4,12,-1.0,-1.0
85,401480725,2023-03-06 18:05:00,2023,BAL,PHI,10,7,0.0,-1.0
84,401480724,2023-03-06 18:05:00,2023,TB,MIA,5,1,0.0,0.0
82,401480722,2023-03-06 18:05:00,2023,BOS,DET,7,1,0.0,0.0
83,401480723,2023-03-06 18:05:00,2023,STL,HOU,7,1,0.0,0.0
86,401480727,2023-03-06 20:05:00,2023,KC,ARI,10,1,0.0,0.0
87,401480731,2023-03-06 20:05:00,2023,LAD,SD,8,3,0.0,-1.0
88,401480728,2023-03-06 20:10:00,2023,SEA,CHC,2,6,0.0,0.0
89,401480729,2023-03-06 20:10:00,2023,LAA,CLE,6,0,0.0,0.0
90,401480732,2023-03-06 20:10:00,2023,COL,TEX,4,1,0.0,0.0
91,401480726,2023-03-06 23:35:00,2023,NYY,PIT,9,2,0.0,0.0
92,401480730,2023-03-07 01:05:00,2023,CIN,COL,6,1,0.0,-1.0
93,401480733,2023-03-07 18:05:00,2023,MIN,BAL,7,6,1.0,0.0
94,401480736,2023-03-07 18:05:00,2023,PIT,TOR,7,2,-1.0,0.0
95,401480742,2023-03-07 18:05:00,2023,DET,STL,16,3,0.0,0.0
96,401480743,2023-03-07 18:05:00,2023,PHI,TB,3,7,0.0,0.0
97,401480737,2023-03-07 18:10:00,2023,MIA,WSH,3,5,0.0,1.0
99,401480739,2023-03-07 20:05:00,2023,CHW,MIL,5,2,1.0,0.0
98,401480738,2023-03-07 20:05:00,2023,TEX,CHC,6,9,-1.0,-1.0
100,401480741,2023-03-07 20:05:00,2023,CIN,SF,7,3,-1.0,1.0
102,401480744,2023-03-07 20:10:00,2023,SD,LAA,4,5,0.0,0.0
101,401480740,2023-03-07 20:10:00,2023,ARI,OAK,3,9,0.0,0.0
103,401480734,2023-03-07 23:05:00,2023,ATL,BOS,2,10,1.0,0.0
104,401480735,2023-03-07 23:05:00,2023,HOU,NYM,5,5,0.0,1.0
105,401480746,2023-03-08 18:05:00,2023,BAL,PIT,7,4,0.0,0.0
106,401480747,2023-03-08 18:05:00,2023,NYY,STL,0,4,0.0,0.0
107,401480752,2023-03-08 18:05:00,2023,DET,WSH,2,1,0.0,-1.0
108,401480745,2023-03-08 18:07:00,2023,TOR,MIN,0,7,0.0,0.0
109,401480749,2023-03-08 20:10:00,2023,LAA,COL,4,3,0.0,0.0
110,401480751,2023-03-08 20:10:00,2023,ARI,TEX,2,0,0.0,0.0
111,401480753,2023-03-08 20:10:00,2023,SD,CIN,9,10,0.0,0.0
112,401480748,2023-03-09 01:05:00,2023,KC,CHW,14,5,1.0,0.0
113,401480750,2023-03-09 01:05:00,2023,LAD,SEA,2,2,1.0,1.0
117,401511570,2023-03-09 18:05:00,2023,TB,TOR,6,1,1.0,-1.0
114,401480755,2023-03-09 18:05:00,2023,NYY,BOS,7,11,0.0,0.0
115,401480756,2023-03-09 18:05:00,2023,PIT,DET,7,10,0.0,0.0
116,401480761,2023-03-09 18:05:00,2023,PHI,BAL,7,6,1.0,0.0
118,401526030,2023-03-09 18:07:00,2023,TOR,ATL,3,1,-1.0,0.0
